text,Americans,Arabs,Belorussians,Caucasians,Central-Asian,Chinese,Dark-skinned,Indian,Japanese,Jews,Koreans,Latvians-Estonians,Lithuanians,Mexicans,NA,Other,Other-African,Other-Asians,Other-European,Palestinians,Poles,Roma,Russians,Ukrainians,Canadians
J.Kronkaičio mintys prasmingos.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
JAU VISAI lenkaiachujelinevel kaip senais laikais...nes lietviai TYLI-reik varyt juos is Lietuvos,,,,,,,,,,,,,,,,,,,,,1.0,,,,
"JAV labai taikiai sugyvena žydai su arabais ir visi kiti vietiniai bei imigrantai iš viso pasaulio. Aišku, prastuomenę - mažamoksliai, bekalbiai žmonės susilaukia kur kas mažiau pagarbos negu mokyti, bet šiaip jau tai labai įvairūs žmonės čia sugyvena be problemų. Bet Lietuva tai ne Amerika nei savo dydžiu nei savo istorija. Lietuva neturi galimybių asimiliuoti įvairių tautų ir neturėtų net mėginti to daryti. Tie, kurie tikrai verti politinio prieglobsčio, gali gauti jį ir Amerikoje, kaip ir aš jį gavau dar sovietų laikais, o kurie negauna, tai nėra verti jį gauti ir kitur, gali gyventi ir tėvynėje.",,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,
"JAV lygtais turi anti-raketine ginyba nuo Javelinu"" - panasios bedos sekiojo irakuose. Tai reik manyt kad ir Rusai susitvarke. Jei susitvarke, kavos nebus kada gert... bus kaip Lazbergiui - reiket gali tekt barikaduotis :D""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"JAV savo parašu patvirtino, kad padės Ukrainai išsaugoti savo teritorinį vientisumą"" - nemeluoklit, tai buvo viso labo tik memorandumas, pati žemiausia sutarčių forma, ketinimai, taip sakant, o rimčiau niekas nenorėjo įsipareigoti.""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
JOS TAIP USIBERBA DUONA IR DIEVAS ANT JU NEPYKSTA😡🤣,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jaaa, dar Siberijoj barakai nesugriuve laukia likusiu lietuviu...",,,,,,,,,,,,,1.0,,,,,,,,,,,,
Jaceniukas pažiūras pakeitė? Ką tai gali reikšti? Žiūrėti: youtube.com/watch?v=8ZTMAqCR67M,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jai Aglishka zole konkreciai smegenis dziovina,su kiekvienu straipsneliu labiau gryba pjauna,ieshko tiesos pasakose bei muzikluose,bet labai didziuojasi kad su bohema dar sugeria bei paruko... Manau jau SUBRENDO ji neberashyti LIETUVIU spaudai,o pasikelti ir pradeti pezeti Angliku spaudai,pats jau laikas,nes rashe nesammones,o toliau nebegeres 100% garantuoju.Anglija tokia shalis,cia stiprus vejai pucia,ir kas neturi tam imuniteto gero,labai greitai smegenis ishpucia,lieka kazkokie apipelije likuciai ,ir zmones tokie gyvena cia,shypsosi,sako sorry kai negras juos stumdo,zolytes papesha,pasitikrina kortele kad alga butu parvesta,ir gyvena tokie kiauragalviai kuriems Valdzia surente toky gyvenimelio buda,kad zmones nesigilintu i nieka.Arbatos su pienuku yra,vadinasi gyvenimas nuostabus.... I nuotrauka paziurekit,ir pabandykite atspeti kiek pas ja dar tu smegenu liko :)",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Jai nuo tu grimasu pastoviai issisiepus jau kokios rauksles darosi/.Galvojau ,kad Mija laimes ir vaziuos ,buciau balsavus uz Mija.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jankiai apsimelavo kapitaliai. Nuotrauka - cecenu bataljovo ""Vostok"" vado pavaduotojo Chamzato Gairbekovo. Galit paziureti youtube ""Cecenskij specnaz raspugal gruzinskich soldat"". Eilinis jankiskas marazmas.",1.0,,,,,,,,,,,,,,,,,,,,,,,,
"Jankiam tai patinka,jie ziuri kaip filma😀😀mes senais laikais ziurejom amerikietiskus filmus,dabar jankiai ziures rusiskus bet realius😀😀😀",1.0,,,,,,,,,,,,,,,,,,,,,,,,
"Janukovicius pabego i Rusija, o Turcinovas susikroves lagamina turbut nes kudasiu i Lietuva",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Japonai laimes ir viskas.,,,,,,,,,0.0,,,,,,,,,,,,,,,,
"Jau atsibodo krito nukrito,koks skirtumas,geriau gal galima sporto rezultatais pasidžiaugti juk Savickas laimėjo tai čia nuostabi žinia",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jau is bedos galima butu kokia gatvyte ir pavadinti Lenkijos ar Lenku vardu... Turime Vilniuje Islandijos gatve.,,,,,,,,,,,,,,,,,,,,,0.0,,,,
"Jau keli metai nesinaudoju jokių kelionių agentūrų paslaugomis : susirandu pigius lėktuvų bilietus, juolab kad šiais laikais už 2 000 - 2500 Lt galima gana toli nuskristi, viešbutį irgi pats susirandu - pasiskaitau aprašymus internete (visiems rekomenduočiau Tripadvisor.com) ir užsisakau-paprasta, daug pigiau ir maloniau. Tie kas tingi arba nesugeba padaryti to patys, kreipiasi į agentūras, o po to, esant problemoms, neretai būna paliekami ant ledo. Aišku, į kokią Turkiją ar Egiptą per agentūrą važiuoti yra pigiau, bet aš niekaip negaliu suprasti žmonių, kurie metai iš metų važiuoja vis ten pat, kai pasaulis toks platus :)",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jau matosi, kad tas ukrų kontrpuolimas ir “peremogos” bus tik laipsniškas perėjimas į jų kapituliaciją.",,,,,,,,,,,,,,,,,,,,,,,,1.0,
Jau meskiukus nepametisim atgal nespesim.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jau mėnesį jie čia verkia dėl to karo, bet kaip jo nėr taip nėr...",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jau pries kokius 7 metus rusijos dumoje buvo svarstomas istatymas del subjektu prisijungimo prie rusijos. Pagal Krymo scenariju. Tada sito istatymo nepatvirtino del to,kad kazkam toptelejo I galva, o kas butu, jei kitos salys priimtu panasu istatyma. Noreciau paziureti, kaip sibiras masiskai jungiasi prie japonijos, kaip kalingradas su gelem pasitinka angela merkel:)",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jau seniai reikėjo tą išsigimėlių teroristų skylę sulyginti su žeme, žaidė nuo 1960",,,,,,,,,,,,,,,1.0,,,,,,,,,,
"Jau skersai gerklės jie jau stovi . Aišku užjausti
gali bet viskam saikas yra . Viską duoda ir taip su legvatom tai gal už ačiū išvis bus visiem patogų .....ai nu nėra ką ir bekalbėti",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jauciu, kad rusai su tankais atvaziuos buvusi tankista vaduoti.",,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Jaučia žydeliai, kad jų ponavojimas pasaulyje baigiasi, jaučia ir siunta, nes žydai- niekam nereikalingi šėtoniški padarai .",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Jaučiu čia tu taip vienas begai 🤣😂
Visi kiti kas emigravo ar buvo emigravę buvo civilizuotai.
O ne kaip laukiniai !!!",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei Iranas isties taip pasielgtu,tai rusam butu kaip dalgiu per kiausinius",,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Jei Izraelis pralaimėtų karą tai konfliktas nesibaigtų. Tos beždžionės vistiek keltų šurmulį pasaulyje. Jei (kai) Izraelis laimėtų (-ės)karą bus bent šiek tiek ramiau.

Faktas seni",,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Jei butu JAV mums draugai, zydus, homoseksualus uz mums priesika politika smerktu ir is pagarbos lietuviams, lietuvisku baznyciu JAV negriautu, o pokariu ne butu melagingai agitavusiu lietuviu eiti i miskus ir zuti nuo galingu okupantu rusu pokariu. Prisiminkite kaip JAV zadejo pokariu laisvinti Lietuva nuo rusu!",,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,
"Jei cigonas pavoge is ne cigono,nera grieko ir nereikia kunigui pasisakyti,jei cigonas pavoge is cigono yra griekas ir reikia kunigui pasisakyti. Visi cigonai turi sirdyje dievuli.",,,,,,,,,,,,,,,,,,,,,,1.0,,,
"Jei cunamis nuo Japonijos juda link JAV, tai nepavydžiu vandenyne esantiems laivams.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei davei ikišti,tai ir vaika lankyti leisk.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei esate sveciuose, malonekite nepamirsti, KAD ESATE NE NAMIE. Chamizmo Lietuvoje niekas netoleruos.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei jau rusiskus kanalus draudziate ziureti tada turetumete uzdrausti rodyti ir dali lietuvisku kanalu pvz kaip BTV, nes daugiau nei puse laidu, filmu retransliuoja is NTV kanalo....",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei jis nebūtų žydas, tai tuos septynius milijonus matytų kaip savo ausis. NBA komandose reikia arti, o Europos komandose galima durnių volioti ir tuos pačius pinigus gauti. Žydai nemėgsta darbo, o mėgsta pinigus ir gišeftą.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Jei kas ir išprovokuos karą Europoje, tai jį išprovokuos ne jankiai ar britai tiesiogiai, o jų kuruojami kvailiai... O po to bankyrai Volstryte ir Sityje vėl pavargs skaičiuoti pinigus... Kaip ir abiejų pasaulinių karų eigoje.",1.0,,,,,,,,,,,,,,,,,,,,,,,,
"Jei mes prieš baltarusių valią galime juos vadinti gudais, tai jie turi moralinę teisę idiotus vadinti labusais.",,,,,,,,,,,,,1.0,,,,,,,,,,,,
"Jei naftos kaina - pigiau negu $100 uz barrel - rusai dirba i minusa - senos technologijos + kosminiai adminisrtavimo kastai + ivarus ""atkatai"" = brangi savikaina.",,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Jei nebuvai tarakono mačiusi - iš kur žinai, kad ten tarakonas buvo? :-)))))))",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jei nebūtų mūsų okupavę rusai tai lenkai būtų mus suėdę 100%,,,,,,,,,,,,,,,,,,,,,1.0,,,,
"Jei pasakei ""a"", tai pasakyk ir ""ž"". Ne negrai, o radikalūs islamistai IGIL. Daugiausia tarp jų arabai, o tiksliau beduinai, remiami Prancūzijos (teikia ginkluotę ir žvalgybinius duomenis). Barzdočių ten žuvo apie penkis šimtus.

Pažiūresiu, kas bus toliau. Gali būti, kad laukia rimtas atsakas.",,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Jei pirksit atskitrai bilietą ir atskirai pigų viešbutį (per booking com). tai galit prasisukti savaitei su 900-1000 Lt). Maitinimas pietų Europoj ne problema - pusryčius duoda paprastai, pietus kur pigiai perkąst, vakarienei maisto nusipirkti ir pavalgyti. Liks išlaidos transportui ir parmogoms, kurias irgi galima pagal info internete apsiskaičiuoti. Tai čia jei pažintinę kelionę norit. Jei poilsinę, tai pusryčiai bus įskaičiuoti, visa kita panašiai kaip aukščiau minėta.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jei reikia daugiau info tai nuvažiuokit į vietą ir sužinosite...,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei rimtai, tai į čia baltarusiai tik su viza, po VSD patikrinimo. Kategoriškai.",,,1.0,,,,,,,,,,,,,,,,,,,,,,
"Jei tavo seneliai palaikė bolševikus, tai žinoma, kad to nusipelnė. Respekt Banderai. Tikras vyras. Gerbiu",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei tie ūkiai pagamina tokią didelę procentinė dalį pieno, bulvių ar dar ten kažko, tai reikšia, kad Rusija beveik neturi žemės ūkio ir didesnę dalį produktų importuoja. Štai jums ir atsakymas.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei va taip Hitleris būtų puolęs prancūzų Mažino liniją, tai būtų iš kart užsilenkęs su savo silpnučiais tankeliais Hitleris ir uzpuole Mazino linija ir ja sekmingai forsavo. II pasaulinis irode kad pasyviosios, nejudancios gynybos strategija yra nesekminga. Nuo II pasaulinio daugiau tokiu gynybos priemoniu niekas nebenaudoja ir kariauja isskirtinai keiciant dislokacijas. Didziausia inasa pries linijas dave ne tankai, o artilerija, del padidejusio atakos atstumo. SSSR 1-jame kare su Suomija prarado daugiausia zmoniu del trivialiojo bardako, silpnos zvalgybos ir sunkiosios technikos neturejimo fronte. Kai tik buvo pastiprinti artelerijos ir tankais - Manerheimo linija buvo forsuota ir Suomija tuctuojau pasirase taikos sutarti, prarandant teritorijas.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jei vaikai gyvena ir gyvens JAV, tai ir vardai amerikietiski.. logiska",0.0,,,,,,,,,,,,,,,,,,,,,,,,
Jei visi butu elgesi taip kaip teisiamasis -auku butu buve labai daug.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jei visus issaudai ar tampi cigonu baronu?,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Jeigu Rusijos vėliava apšviesti ryškiai geltona spalva tai tada matosi Lietuvos vėliava.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jeigu ieškosi prie ko prikibti, visada rasi 🙃 bet šiaip tai jokio rasizmo čia nebuvo, jei patys juodaodžiai save mato kaip beždžiones, tada gal ir gali įsižeisti 🤨",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Jeigu kartotinai išleidžia, tai, matyt, rinkos dėsniai lemia... Prancūzai išperka (ne rusai gi), ir dar nori pirkti... O gal čia KGB/FSB tiražą urmu nusiperka?",,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,
"Jeigu labusai savo noru nori kad juos ispjautu tada nera ko kuklintis - Lietuvius BUTINA MASISKAI ZUDYTI. ir kuo daugiau ir greiciau Jiems reikia suteikti laime padvesti uz Pindostana, vokiecius ar lenkus. ZUDYKIM LABUSUS  be sazines griauzimo.",,,,,,,,,,,,,1.0,,,,,,,,,,,,
"Jeigu rusai pultų Lietuvą, NATO naikintuvai būtų panaudoti ne gynybai, bet kaip eskortas sprunkančiai mūsų valdžiai, o jų pagausėjimas rodo, kad jau nemažai ant lagaminų sėdi"".""",,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Jeigu sitie Amerikos finansuojami baltarusiu atmatos kels galvas, Lukosenka PRIVALO juos trinti tankais ir saudyti. Kaip Kinijoje Tiananmenio aiksteje. Geriau sutrinti pora tukstanciu dabar negu paskui zutu 100 tukstanciu.",,,1.0,,,,,,,,,,,,,,,,,,,,,,
"Jeigu suprastų kas vyksta, neitų už tuos bandytus,kurie padarė skerdynes spalio 7d.Izraelyje.O gal labai nori šeriata?
Nenori suprasti,kad vyksta kova tarp civilizacijos ir tamsos.
Tegyvuoja Izraelis.",,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Jeigu žmogus sako, kad yra lenkas, bet jam sudėtinga laisvai suvokti savo tautybę nematant įrašo lenkiškais rašmenimis pase ar gatvių lentelėje, vadinasi, valdžia turi jam padėti, o ne trukdyti identifikuoti save tautiniu požiūriu",,,,,,,,,,,,,,,,,,,,,0.0,,,,
"Jezau o as irgi kaip tik isvarau po 3 savaiciu praktikai i Kinija, tik as i Snachaju! Blemba nugasdinot!",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jie isvys laukiniai pas mus dirbū lauzo viska,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Jie musu tikrai nepasigailes.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jie nesustos. Po to bus Sirija, po to dar kokia šalis. Po to Baltarusija. Po to Rusija ir galiausiai Kinija. Čia tik pradžia. Nebent Kinija susijungtų su Rusija ir pirmos pradėtų. Kito šanso joms nebus.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jie niekada nekalti,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jie ten protu nepasižymi.,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Jie tokį Lietuvos radijo ir televizijos komisijos (LRTK) sprendimą vertina kaip antidemokratinį Ir teisingai vertina - jis ir yra antidemokratinis ir prieštaraujantis Konstitucijai. Valdininkai į ją kojas valosi.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jie yra pikey!!!!UK kiekvienas zino,ka reiskia sis zodis - isgamos!",,,,,,,,,,,,,,,,,,,,,,1.0,,,
Jiems nekiek negaila savo tautieciu Kijeve ir Lvove.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jis jau dabar nereikalingas ,nes per musu televizijos kanalus nera ko ziureti.Politika ne domina,uzkniso,nesvarbu per kur ziuretum,o muilo operos ,humoras zemiau keliu ,ir visokie blodiniu,bobuciu ir dar visokie alia pokalbiu sou irgi nedo mina.Atsisakyciau kabelines telev .paslaugu,velniam man tada tas paketas ,jeigu negauni to,.uz ka moki ,bet negali ,nes sutartis terminuota ...",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jis norėjo pasigirti, kad čia, kaip ir Ukrainoje, viską organizavo žydų naciai.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Jis siūlo pasirašinėti su lenkais susitarimą tais klausimais, kuriais susitarimai JAU pasirašyti 1994 metų sutartyje! Ir kuo argumentuoja tokių naujų susitarimų pasirašymų būtinybę? Ogi tuo, kad Lenkija Lietuvą puola kaltindama, kad Lietuva nevykdo ankstesnių susitarimų pagal 1994 metų sutartį dėl pavardžių rašymo! Nors pats savo straipsnyje pripažįsta, kad tokie lenkų kaltinimai yra iš piršto laužti - LIETUVA VYKDO VISKĄ, KĄ BUVO ĮSIPAREIGOJUSI VYKDYTI! Lietuva įsipareigojo rašyti lenkų mažumos pavardes pagal lenkiško tarimo SKAMBESĮ - taip ir rašom! Nerašom Tomaševskis pase - rašom taip kaip jis nori ir kaip tariant lenkiškai skamba - Tomaševski, su lenkiško tarimo galūne. Lietuva sutartyje NEĮSIPAREIGOJO rašyti lenkų mažumos pavardes lenkų kalbos rašymo taisyklėmis, t.y. neįsipareigojo rašyti Tomaszewski! To Lietuva neprivalo daryti nei pagal dvišalius, nei pagal tarptautinius įsipareigojimus! Mažumų Konvencija taip pat kaip ir 1994 metų sutartis su Lenkija LEIDŽIA Lietuvai rašyti Tomaševski ir neįpareigoja rašyti Tomaszewski!Tačiau nacionalizmo bakterija apkrėsti lenkai ant Lietuvos (sprando?) ir ne ką mažiau ta bakterija apkrėsta lenkų valdžia Lenkijoje nesitaiksto su esama padėtimi ir visokiausiais būdais ir niekšiškais, nes neteisingais kaltinimais šantažuodami Lietuvą siekia, kad Lietuva padarytų tai, ko nėra įsipareigojusi.Atkreipkit dėmesį į fašistinę lenkų valdžios elgesio prigimtį: žinodama, jog Lietuva VYKDO tai, ką yra įsipareigojusi, lenkų valdžia leidžia sau mesti Lietuvai dėl pavardžių rašymo kaltinimus (cituoju Kiaupės citatą) „pažeidžia tautinės mažumos teises“ (Lietuva) , tuo tarpu situacijoj, kur Latvijoje, kaip cituoja Kiaupė Lenkijos-Latvijos tarptautinę sutartį „Šalys sutaria... vartoti vardus ir pavardes pagal gimtosios kalbos rašybą ir skambesį“, lenkų mažumos pavardės rašomos NE PAGAL GIMTOSIOS KALBOS RAŠYBĄ, t.y. latviai lygiai taip kaip ir lietuviai rašo Latvijos lenkų pavardes savo, t.y. latvių rašmenimis, ir dar atrodo net galūnes latviškas privalomai klijuoja prie tų pavardžių, - nors tuo jau nesu tikras, TAIP LAUŽYDAMI SAVO SUTARTINIUS TIK KĄ PACITUOTUS ĮSIPAREIGOJIMUS dėl lenkiškos rašybos vartojimo pavardžių rašyme, šioje situacijoje Lenkijos nacionalfašistinė valdžia nemato jokių problemų ir laiko jog lenkų mažumos padėtį sutartis laužanti Latvija „pavyzdingai užtikrina“ (Latvija)!!! Na ar ne pavyzdinis fašistinės hitlerinės Vokietijos ar putininės Rusijos elgesys, kai tos grobdamos svetimų valstybių teritorijas, siųsdamos diversantus į kaimynines šalis destabilizuoti padėčiai ar pradėdamos karus skelbė ir skelbia visko kaltininkėmis savo aukas - Lenkiją, Suomiją, Baltijos šalis, dabar Ukrainą?Taigi Lietuva dėl pavardžių rašymo nepažeidžia JOKIŲ savo įsipareigojimų, bet Kiaupė vis tiek siūlo praktiškai denonsuoti 1994 metų sutartį su Lenkija ir iš naujo prisiimti tuos pačius įsipareigojimus, kurie JAU yra toje sutartyje užfiksuoti. Ir daro tai vien dėl to, KAD FAŠISTINĖ LENKIJOS VALDŽIA, KALTINAMA VISOMIS ŽEMĖS NUODĖMĖMIS REIKALAUJA IŠ LIETUVOS PADARYTI TAI, KO LIETUVA NĖRA ĮSIPAREIGOJUSI PADARYTI IR NEPRIVALO DARYTI!Todėl Kiaupės pasiūlymus dėl papildomų susitarimų laikau NIEKINIAIS. Tuo labiau, kad dėl lietuvybės skleidimo agresyvioj fašistinėj Lenkijoj jie iš tiesų yra NE REALISTINIAI, o fantastiniai. Kiaupė siūlo įsipareigoti rašyti lenkiškas pavardes lenkiškai ir puoselėti ir finansiškai dar aktyviau remti Rytų Lietuvos lenkinimą PRAKTIŠKAI UŽ NIEKĄ! DYKAI! Už kažkokių miražinių lietuviškų Vasiukų kūrimą, kas tokioj nacionalistinėj šaly kaip Lenkija yra tiesiog neįmanoma.O Lietuvos valdžiai ir Seimo nariams linkiu tvirtybės nepasiduodant panašioms kiaupių provokacijoms ir svarbiausia, nacionalizmo liga sergančios Lenkijos valdžios šantažui ir gyvuliškam spaudimui.",,,,,,,,,,,,,,,,,,,,,1.0,,,,
"Jo vardas yra Ivanas Lopezas, jis buvo vedęs, turėjo šeimą ir gyveno Fort Hudo rajone. -------------- Vardas - charakteristika.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jo, Rusija bombardavo Jugoslavija, Iraka, libija, finansuoja kara Sirijoje, destabilizavo padeti Egipte ir t.t",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jo, blia!!!! Gaila jiems, parazitai!!! Tai ko is ju niekas nedirba oficialiai??? Parazituojanti tauta! Degint su visais taborais!!! Visada kiek Prisimenu, vien bedos nuo ju!!!",,,,,,,,,,,,,,,,,,,,,,1.0,,,
"Jo, labai silpnai Vakarai atrodo. Neapgintu mus ne tik nuo Rusijos, bet ir nuo Baltarusijos...",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jo, tikėk, kad naktim neužmiega. :)))",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jo. Visi paėmę paskolas Švedų banke tik ir laukia tokio momento...,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jofilimet, kaip kas mokam taip garsinam brangią Lietuvėlę...",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jokios politokos cia nera-zmones nori ten,kur didesni atlyginimai ir didesnes pensijos. But Moldovoj dvigubai didesni-noretu i Moldova.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Jokios užuojautos neturiu palestiniečiams jeigu išdrįsta prievartauti moteris tai yra žmogaus pavidalo gyvuliai su gyvūno protu tokius reikia žudyti ir galvas pamaut ant kuolo arba nukryžiuoti tegul dvėsdamas kenčia kaip Jėzus Kristus prikaltas prie kryžiaus.,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Jokiu islamistu ir juoduku pas Mustads gyvensim ramiai ,kitaip jie Mus zudys",,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Jokiu ten romu nėra. airių gypsiai jie bb dėjo ant visko o gyvena gerai ne vienas nesukursta, nemoka jokių mokesčių, narkotikai, finansinės aferos plėšimai",,,,,,,,,,,,,,,,,,,,,,1.0,,,
"Joo, ruseliai duoda, vien ko verti perliukai ""stiprų ryšį su budizmu turinčiais principais: jokios mėsos, jokios alkoholio, jokių cigarečių, jokio smurto"". Gaila tik kad musu zurnalistika tokio lygio, kad uz pinigus ir kovo 11 bet koki straipsni galima uzsakyti. Be abejo, ekologija, nuosavi sodeliai -- viskas puiku. Bet nereikia kvailinti zmoniu su tokiom kominizmo laiku lygio propagandinem rasliavom - Rusijos zemes ukis buvo suzlugdytas, salis su derlingiausiomis zememis turi importuoti maista (ne tik is vakaru, bet tokiu saliu kaip Saudo Arabija..), kaimai prasigere; -- o visos sekmes istorijos tai vokietijos, skandinavu ir kitu vakarieciu ukiai, ir tai nuolat kovojantys su valstybinio lygio korupcija, nekompetencija, etc. Nuosridziai linkiu visokeriopos sekmes rusams tvarkantis savame kieme, isnaudojant savo milziniska potenciala, tikiu kad ilgainiui jiems pasiseks. Jiems dar geriau sektusi, jei ziuretu saves, o ne bandytu susigrazinti ""istrukusias sagas is savo munduro"", pumpuotu milziniskus pinigus siekdami patenktinti savo imperialistines ambicijas. Su kovo 11!!",,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,
"Jooooo, tuoj žydai paskelbs, kad visas pasaulis - žydų išlaikytiniai. O kaip kitaip finansiškai krušti runkelius be mirtinos propagandos?",,,,,,,,,,1.0,,,,,,,,,,,,,,,
Jos abi juodukės ;),,,,,,,0.0,,,,,,,,,,,,,,,,,,
Juks ruSSiska kiau!e.,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Juodašikniai lietuviškai sakosi,,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Juodų siaurų antakių nepamiršti pasiimti su savomi, TIK NE KAIP TURKES - ARABĖS ŠLUOTŲ",,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Juoka kelia, kai asmuo kandidatuojantis i Prezidentus kalba tokius vejus, lygindamas siaip bet ka su savo artimaisiais.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Juokinga, kad tos/tie, kurie labai gaili hamasikų, gali greitai čia savo kailiu pajust teroristų ""skausmą""",,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Juos reikia po karo šaudyti vietoje be jokio teismo, kaip policajus Antrajame pasauliniame. Deja, apsišikėlis Putinas to neleis, juos nuteis porai trejetui metelių ir paleis...",,,,,,,,,,,,,,,,,,,,,,,,1.0,
"Juos reikia į wood chipper, ir tada gatvių duobes užtaisyt jais. Dviguba nauda.",,,,,,,,,,,,,,,1.0,,,,,,,,,,
Juos seniai laikas uzdaryti i rezervacijos kolonijas kaip indenus jie baisiau uz bent kokius parazitus ir virusus jie neverti net kalejimu nes ten juos reikia islaikyti priverst dirbt sunkiausius darbus po 16 val tada suzinotu ka reiskia kenkti visuomenei,,,,,,,,,,,,,,,,,,,,,,1.0,,,
"Jurijau,sobotinai,- Jau kur ruskis zingsni zenge ten atsilikimas penkesdesimcei metu visur liko.Tas pats su rytine vokietija,kuria ruselis uztupes buvo,tai ir atsilikimas ir dabar susivieijus sunku dar pasivyti vakarietiskaja.Fui,- jeigu jau su ruskeis tektu atgal buti,tuoj pat isvaziuociau is lietuvos i vakarus tik.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
Jus geriau parasykit kiek per visa laika haholu paguldyta 😃,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Jus kurvos fasistai NETURIT TEISES gyventi. Mirtis JevroPiderSojusui ir fasistinei Amerikai.,,,,,,,,,,,,,,,,,,,,,,,,1.0,
"Jus patis norit karo , jus norit kraujo, jus tik filmose mate kara , na nieko greiciausei gausit to ko norit , VISAGALIS skaito musu mintis ,bukite acargus",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Jus turite suprasti, kad kanalas pazeide taisykles, sulauze istatyma ir buvo nubaustas. cia ne cenzura. Daugiau argumentu nereikia. Bet juk ne kanale esme...? Ir dauguma apskritai labai idomiai demokratija supranta..",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Just to clarify, Lietuva NEPIRKO jokių M-14, o gavo juos dykai. Taip kad STFU.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
